service,operation,service_demand
persistence,findAllCategories,0.00043594468126777777
persistence,findCategoryById,0.00028558504742083336
persistence,findOrdersByUser,0.0004827912308180556
persistence,listProductCategory,0.0007024586321788889
persistence,countProductCategory,0.0003949433215566667
persistence,findProductById,0.00029790374106555557
persistence,findUserById,0.0004104012023611112
webui,cart,0.00025625011277234053
webui,addToCart,0.00023313686837478684
webui,updateCart,0.00025998592753524215
webui,confirmOrder,0.0002650980293525237
webui,proceedToCheckout,0.00026007210790561714
webui,removeFromCart,0.0002537818877973837
webui,category,0.0002587644855970766
webui,index,0.00025861543110886466
webui,logout,0.00025989004817554415
webui,login,0.0002610386146040853
webui,order,0.0002552681435146684
webui,product,0.0002544061542488512
webui,profile,0.00025778228823576655
auth,cartAdd,0.00025717850132967054
auth,cartRemove,0.00025700496231100705
auth,isloggedin,0.00026055990685156243
auth,login,0.0002685092803613191
auth,logout,0.00025922442558896534
auth,placeOrder,0.00023428745222260448
image,getProductImages,0.00023749159079566886
image,getWebUIImages,0.00027068476188281637
persistence,createOrderItem,0.00027246990484451947
persistence,createOrder,0.00027205413741710323
recommender,recommend,0.00023020074615466628
auth,cartUpdate,0.0002582751489220402
