service,operation,service_demand
persistence,findAllCategories,0.00039470711040694444
persistence,findCategoryById,0.00024650220320645297
persistence,findOrdersByUser,0.00044136739892972223
persistence,listProductCategory,0.0006883110220336112
persistence,countProductCategory,0.0003628263691116667
persistence,findProductById,0.00025705949805463466
persistence,findUserById,0.0003856725629547222
webui,cart,0.0002394316533795143
webui,addToCart,0.00021513599777017007
webui,updateCart,0.00024164557495545789
webui,confirmOrder,0.0002461684293641436
webui,proceedToCheckout,0.0002438370546338945
webui,removeFromCart,0.00023616487668792175
webui,category,0.00024322721965210984
webui,index,0.00023720500577485866
webui,logout,0.00024188759526830523
webui,login,0.00024274949617269912
webui,order,0.0002403503866163159
webui,product,0.00023551655173256785
webui,profile,0.00024156672997106265
auth,cartAdd,0.00023936613925651647
auth,cartRemove,0.00023753657758775946
auth,isloggedin,0.00024123195481588178
auth,login,0.0002483231011868978
auth,logout,0.00024198934082171595
auth,placeOrder,0.00022126817996371483
image,getProductImages,0.00022317013483064683
image,getWebUIImages,0.00024810599309438714
persistence,createOrderItem,0.00024274802585935558
persistence,createOrder,0.00024391414134773427
recommender,recommend,0.00021416002915168307
auth,cartUpdate,0.00023962443260768605
